name,moref,parent_host,mac_address,link_status,speed,duplex,driver,firmware,pci_address,notes
vmnic5,nic-host-1006-5,host-1006,00:50:56:51:f2:83,Up,40000,Full,vmxnet3,1.3.7,0000:43:00.5,NIC 6 for host HQ-A-ESX-02-02
vmnic6,nic-host-1006-6,host-1006,00:50:56:bd:c1:53,Up,10000,Full,vmxnet3,1.8.8,0000:95:00.6,NIC 7 for host HQ-A-ESX-02-02
vmnic7,nic-host-1006-7,host-1006,00:50:56:f3:01:f3,Up,40000,Full,vmxnet3,1.5.8,0000:44:00.7,NIC 8 for host HQ-A-ESX-02-02
vmnic0,nic-host-1007-0,host-1007,00:50:56:a6:2b:1f,Up,40000,Full,vmxnet3,1.5.6,0000:76:00.0,NIC 1 for host HQ-A-ESX-02-03
vmnic1,nic-host-1007-1,host-1007,00:50:56:a8:f3:b6,Down,40000,Full,vmxnet3,1.6.6,0000:49:00.1,NIC 2 for host HQ-A-ESX-02-03
vmnic2,nic-host-1007-2,host-1007,00:50:56:11:36:1e,Up,25000,Full,vmxnet3,1.1.0,0000:39:00.2,NIC 3 for host HQ-A-ESX-02-03
vmnic3,nic-host-1007-3,host-1007,00:50:56:19:54:17,Up,10000,Full,vmxnet3,1.5.6,0000:63:00.3,NIC 4 for host HQ-A-ESX-02-03
vmnic4,nic-host-1007-4,host-1007,00:50:56:79:86:4b,Up,40000,Full,vmxnet3,1.1.7,0000:50:00.4,NIC 5 for host HQ-A-ESX-02-03
vmnic5,nic-host-1007-5,host-1007,00:50:56:6d:96:e1,Up,10000,Full,vmxnet3,1.7.3,0000:47:00.5,NIC 6 for host HQ-A-ESX-02-03
vmnic6,nic-host-1007-6,host-1007,00:50:56:3e:37:89,Up,10000,Full,vmxnet3,1.6.0,0000:12:00.6,NIC 7 for host HQ-A-ESX-02-03
vmnic7,nic-host-1007-7,host-1007,00:50:56:1b:a7:7a,Up,10000,Full,vmxnet3,1.2.4,0000:88:00.7,NIC 8 for host HQ-A-ESX-02-03
vmnic0,nic-host-1008-0,host-1008,00:50:56:5e:29:0f,Up,10000,Full,vmxnet3,1.1.7,0000:90:00.0,NIC 1 for host HQ-A-ESX-02-04
vmnic1,nic-host-1008-1,host-1008,00:50:56:2b:31:45,Up,10000,Full,vmxnet3,1.9.0,0000:68:00.1,NIC 2 for host HQ-A-ESX-02-04
vmnic2,nic-host-1008-2,host-1008,00:50:56:40:13:75,Up,40000,Full,vmxnet3,1.1.9,0000:85:00.2,NIC 3 for host HQ-A-ESX-02-04
vmnic3,nic-host-1008-3,host-1008,00:50:56:ca:ed:2b,Up,10000,Full,vmxnet3,1.4.7,0000:37:00.3,NIC 4 for host HQ-A-ESX-02-04
vmnic4,nic-host-1008-4,host-1008,00:50:56:56:98:38,Up,25000,Full,vmxnet3,1.9.5,0000:42:00.4,NIC 5 for host HQ-A-ESX-02-04
vmnic5,nic-host-1008-5,host-1008,00:50:56:57:9a:62,Up,25000,Full,vmxnet3,1.3.9,0000:16:00.5,NIC 6 for host HQ-A-ESX-02-04
vmnic6,nic-host-1008-6,host-1008,00:50:56:d3:23:73,Up,25000,Full,vmxnet3,1.5.8,0000:76:00.6,NIC 7 for host HQ-A-ESX-02-04
vmnic7,nic-host-1008-7,host-1008,00:50:56:a6:98:20,Up,40000,Full,vmxnet3,1.2.1,0000:52:00.7,NIC 8 for host HQ-A-ESX-02-04
vmnic0,nic-host-1009-0,host-1009,00:50:56:39:46:cf,Up,10000,Full,vmxnet3,1.2.2,0000:66:00.0,NIC 1 for host HQ-A-ESX-02-05
vmnic1,nic-host-1009-1,host-1009,00:50:56:cb:33:c6,Up,25000,Full,vmxnet3,1.7.1,0000:57:00.1,NIC 2 for host HQ-A-ESX-02-05
vmnic2,nic-host-1009-2,host-1009,00:50:56:27:d1:94,Up,10000,Full,vmxnet3,1.5.4,0000:63:00.2,NIC 3 for host HQ-A-ESX-02-05
vmnic3,nic-host-1009-3,host-1009,00:50:56:2f:c9:47,Up,10000,Full,vmxnet3,1.3.9,0000:79:00.3,NIC 4 for host HQ-A-ESX-02-05
vmnic4,nic-host-1009-4,host-1009,00:50:56:18:a1:01,Up,40000,Full,vmxnet3,1.5.5,0000:54:00.4,NIC 5 for host HQ-A-ESX-02-05
vmnic5,nic-host-1009-5,host-1009,00:50:56:1d:82:72,Up,10000,Full,vmxnet3,1.6.9,0000:64:00.5,NIC 6 for host HQ-A-ESX-02-05
vmnic6,nic-host-1009-6,host-1009,00:50:56:ce:89:7f,Up,25000,Full,vmxnet3,1.6.3,0000:17:00.6,NIC 7 for host HQ-A-ESX-02-05
vmnic7,nic-host-1009-7,host-1009,00:50:56:bc:b5:1a,Down,40000,Full,vmxnet3,1.6.7,0000:88:00.7,NIC 8 for host HQ-A-ESX-02-05
vmnic0,nic-host-1010-0,host-1010,00:50:56:dd:0f:e2,Up,25000,Full,vmxnet3,1.2.0,0000:81:00.0,NIC 1 for host HQ-A-ESX-02-06
vmnic1,nic-host-1010-1,host-1010,00:50:56:fe:e8:5c,Up,25000,Full,vmxnet3,1.5.3,0000:13:00.1,NIC 2 for host HQ-A-ESX-02-06
vmnic2,nic-host-1010-2,host-1010,00:50:56:65:8d:62,Up,10000,Full,vmxnet3,1.4.2,0000:28:00.2,NIC 3 for host HQ-A-ESX-02-06
vmnic3,nic-host-1010-3,host-1010,00:50:56:6d:4a:b4,Up,10000,Full,vmxnet3,1.1.4,0000:59:00.3,NIC 4 for host HQ-A-ESX-02-06
vmnic4,nic-host-1010-4,host-1010,00:50:56:b0:98:65,Up,25000,Full,vmxnet3,1.9.5,0000:78:00.4,NIC 5 for host HQ-A-ESX-02-06
vmnic5,nic-host-1010-5,host-1010,00:50:56:39:78:e1,Up,10000,Full,vmxnet3,1.2.2,0000:91:00.5,NIC 6 for host HQ-A-ESX-02-06
vmnic6,nic-host-1010-6,host-1010,00:50:56:93:33:39,Up,40000,Full,vmxnet3,1.6.0,0000:66:00.6,NIC 7 for host HQ-A-ESX-02-06
vmnic7,nic-host-1010-7,host-1010,00:50:56:dd:cf:33,Down,10000,Full,vmxnet3,1.9.1,0000:87:00.7,NIC 8 for host HQ-A-ESX-02-06
vmnic0,nic-host-1011-0,host-1011,00:50:56:66:71:8d,Up,10000,Full,vmxnet3,1.9.8,0000:85:00.0,NIC 1 for host HQ-A-ESX-02-07
vmnic1,nic-host-1011-1,host-1011,00:50:56:2b:91:6e,Up,10000,Full,vmxnet3,1.8.4,0000:75:00.1,NIC 2 for host HQ-A-ESX-02-07
vmnic2,nic-host-1011-2,host-1011,00:50:56:96:c1:c9,Up,10000,Full,vmxnet3,1.4.8,0000:87:00.2,NIC 3 for host HQ-A-ESX-02-07
vmnic3,nic-host-1011-3,host-1011,00:50:56:ee:84:bb,Up,40000,Full,vmxnet3,1.1.4,0000:60:00.3,NIC 4 for host HQ-A-ESX-02-07
vmnic4,nic-host-1011-4,host-1011,00:50:56:67:76:04,Up,25000,Full,vmxnet3,1.9.7,0000:53:00.4,NIC 5 for host HQ-A-ESX-02-07
vmnic5,nic-host-1011-5,host-1011,00:50:56:e4:61:af,Up,40000,Full,vmxnet3,1.6.4,0000:77:00.5,NIC 6 for host HQ-A-ESX-02-07
vmnic6,nic-host-1011-6,host-1011,00:50:56:cc:73:29,Up,40000,Full,vmxnet3,1.8.0,0000:44:00.6,NIC 7 for host HQ-A-ESX-02-07
vmnic7,nic-host-1011-7,host-1011,00:50:56:28:b7:d5,Up,10000,Full,vmxnet3,1.3.0,0000:55:00.7,NIC 8 for host HQ-A-ESX-02-07
vmnic0,nic-host-1012-0,host-1012,00:50:56:18:fd:81,Up,25000,Full,vmxnet3,1.6.4,0000:17:00.0,NIC 1 for host HQ-A-ESX-02-08
vmnic1,nic-host-1012-1,host-1012,00:50:56:b2:0c:c0,Up,40000,Full,vmxnet3,1.2.3,0000:33:00.1,NIC 2 for host HQ-A-ESX-02-08
vmnic2,nic-host-1012-2,host-1012,00:50:56:68:a2:75,Up,40000,Full,vmxnet3,1.5.8,0000:48:00.2,NIC 3 for host HQ-A-ESX-02-08
vmnic3,nic-host-1012-3,host-1012,00:50:56:28:5a:aa,Up,25000,Full,vmxnet3,1.2.0,0000:37:00.3,NIC 4 for host HQ-A-ESX-02-08
vmnic4,nic-host-1012-4,host-1012,00:50:56:9d:6a:19,Down,10000,Full,vmxnet3,1.9.7,0000:78:00.4,NIC 5 for host HQ-A-ESX-02-08
vmnic5,nic-host-1012-5,host-1012,00:50:56:df:a6:13,Up,25000,Full,vmxnet3,1.6.1,0000:14:00.5,NIC 6 for host HQ-A-ESX-02-08
vmnic6,nic-host-1012-6,host-1012,00:50:56:06:6b:e0,Up,25000,Full,vmxnet3,1.3.4,0000:22:00.6,NIC 7 for host HQ-A-ESX-02-08
vmnic7,nic-host-1012-7,host-1012,00:50:56:38:c2:82,Up,25000,Full,vmxnet3,1.4.4,0000:09:00.7,NIC 8 for host HQ-A-ESX-02-08
vmnic0,nic-host-1013-0,host-1013,00:50:56:4a:db:a9,Down,10000,Full,vmxnet3,1.2.5,0000:45:00.0,NIC 1 for host HQ-A-ESX-02-09
vmnic1,nic-host-1013-1,host-1013,00:50:56:3a:b1:58,Up,40000,Full,vmxnet3,1.2.9,0000:12:00.1,NIC 2 for host HQ-A-ESX-02-09
vmnic2,nic-host-1013-2,host-1013,00:50:56:1a:4d:80,Up,25000,Full,vmxnet3,1.3.0,0000:66:00.2,NIC 3 for host HQ-A-ESX-02-09
vmnic3,nic-host-1013-3,host-1013,00:50:56:12:ef:60,Up,10000,Full,vmxnet3,1.8.1,0000:25:00.3,NIC 4 for host HQ-A-ESX-02-09
vmnic4,nic-host-1013-4,host-1013,00:50:56:41:54:a8,Up,25000,Full,vmxnet3,1.4.1,0000:81:00.4,NIC 5 for host HQ-A-ESX-02-09
vmnic5,nic-host-1013-5,host-1013,00:50:56:48:8a:26,Up,40000,Full,vmxnet3,1.6.5,0000:54:00.5,NIC 6 for host HQ-A-ESX-02-09
vmnic6,nic-host-1013-6,host-1013,00:50:56:19:4f:77,Up,10000,Full,vmxnet3,1.9.7,0000:64:00.6,NIC 7 for host HQ-A-ESX-02-09
vmnic7,nic-host-1013-7,host-1013,00:50:56:55:ff:cf,Up,25000,Full,vmxnet3,1.2.4,0000:29:00.7,NIC 8 for host HQ-A-ESX-02-09
vmnic0,nic-host-1014-0,host-1014,00:50:56:51:ed:23,Up,10000,Full,vmxnet3,1.1.0,0000:51:00.0,NIC 1 for host HQ-A-ESX-02-10
vmnic1,nic-host-1014-1,host-1014,00:50:56:3a:61:f2,Up,10000,Full,vmxnet3,1.7.2,0000:54:00.1,NIC 2 for host HQ-A-ESX-02-10
vmnic2,nic-host-1014-2,host-1014,00:50:56:76:7a:5a,Up,25000,Full,vmxnet3,1.8.0,0000:30:00.2,NIC 3 for host HQ-A-ESX-02-10
vmnic3,nic-host-1014-3,host-1014,00:50:56:c9:06:3a,Up,25000,Full,vmxnet3,1.1.4,0000:83:00.3,NIC 4 for host HQ-A-ESX-02-10
vmnic4,nic-host-1014-4,host-1014,00:50:56:98:49:f0,Up,40000,Full,vmxnet3,1.3.7,0000:46:00.4,NIC 5 for host HQ-A-ESX-02-10
vmnic5,nic-host-1014-5,host-1014,00:50:56:47:81:5b,Up,10000,Full,vmxnet3,1.3.4,0000:94:00.5,NIC 6 for host HQ-A-ESX-02-10
vmnic6,nic-host-1014-6,host-1014,00:50:56:ee:60:d1,Up,10000,Full,vmxnet3,1.8.6,0000:44:00.6,NIC 7 for host HQ-A-ESX-02-10
vmnic7,nic-host-1014-7,host-1014,00:50:56:90:48:d6,Up,25000,Full,vmxnet3,1.6.3,0000:35:00.7,NIC 8 for host HQ-A-ESX-02-10
vmnic0,nic-host-1015-0,host-1015,00:50:56:f0:c0:ab,Up,40000,Full,vmxnet3,1.8.5,0000:80:00.0,NIC 1 for host HQ-A-ESX-03-01
vmnic1,nic-host-1015-1,host-1015,00:50:56:08:8e:73,Up,25000,Full,vmxnet3,1.3.2,0000:71:00.1,NIC 2 for host HQ-A-ESX-03-01
vmnic2,nic-host-1015-2,host-1015,00:50:56:08:5f:fe,Up,10000,Full,vmxnet3,1.4.0,0000:11:00.2,NIC 3 for host HQ-A-ESX-03-01
vmnic3,nic-host-1015-3,host-1015,00:50:56:69:cd:79,Up,10000,Full,vmxnet3,1.2.9,0000:02:00.3,NIC 4 for host HQ-A-ESX-03-01
vmnic4,nic-host-1015-4,host-1015,00:50:56:28:da:6b,Up,10000,Full,vmxnet3,1.1.0,0000:24:00.4,NIC 5 for host HQ-A-ESX-03-01
vmnic5,nic-host-1015-5,host-1015,00:50:56:f2:d8:e9,Up,25000,Full,vmxnet3,1.8.4,0000:49:00.5,NIC 6 for host HQ-A-ESX-03-01
vmnic6,nic-host-1015-6,host-1015,00:50:56:5e:5a:50,Up,40000,Full,vmxnet3,1.7.2,0000:88:00.6,NIC 7 for host HQ-A-ESX-03-01
vmnic7,nic-host-1015-7,host-1015,00:50:56:ac:65:90,Up,40000,Full,vmxnet3,1.6.1,0000:20:00.7,NIC 8 for host HQ-A-ESX-03-01
vmnic0,nic-host-1016-0,host-1016,00:50:56:95:07:1f,Up,10000,Full,vmxnet3,1.6.1,0000:68:00.0,NIC 1 for host HQ-A-ESX-03-02
vmnic1,nic-host-1016-1,host-1016,00:50:56:f4:1e:49,Up,10000,Full,vmxnet3,1.8.0,0000:59:00.1,NIC 2 for host HQ-A-ESX-03-02
vmnic2,nic-host-1016-2,host-1016,00:50:56:5b:55:f8,Up,40000,Full,vmxnet3,1.3.7,0000:77:00.2,NIC 3 for host HQ-A-ESX-03-02
vmnic3,nic-host-1016-3,host-1016,00:50:56:c2:45:d7,Up,25000,Full,vmxnet3,1.6.3,0000:91:00.3,NIC 4 for host HQ-A-ESX-03-02
vmnic4,nic-host-1016-4,host-1016,00:50:56:6b:f2:6d,Up,10000,Full,vmxnet3,1.1.8,0000:43:00.4,NIC 5 for host HQ-A-ESX-03-02
vmnic5,nic-host-1016-5,host-1016,00:50:56:b3:58:de,Up,25000,Full,vmxnet3,1.8.0,0000:89:00.5,NIC 6 for host HQ-A-ESX-03-02
vmnic6,nic-host-1016-6,host-1016,00:50:56:ce:dc:92,Up,40000,Full,vmxnet3,1.2.1,0000:60:00.6,NIC 7 for host HQ-A-ESX-03-02
vmnic7,nic-host-1016-7,host-1016,00:50:56:77:80:17,Up,40000,Full,vmxnet3,1.5.7,0000:07:00.7,NIC 8 for host HQ-A-ESX-03-02
vmnic0,nic-host-1017-0,host-1017,00:50:56:9f:06:bd,Up,10000,Full,vmxnet3,1.8.0,0000:49:00.0,NIC 1 for host HQ-A-ESX-03-03
vmnic1,nic-host-1017-1,host-1017,00:50:56:c4:9b:69,Up,10000,Full,vmxnet3,1.5.9,0000:88:00.1,NIC 2 for host HQ-A-ESX-03-03
vmnic2,nic-host-1017-2,host-1017,00:50:56:9c:44:3d,Up,10000,Full,vmxnet3,1.5.2,0000:73:00.2,NIC 3 for host HQ-A-ESX-03-03
vmnic3,nic-host-1017-3,host-1017,00:50:56:8f:34:73,Up,25000,Full,vmxnet3,1.1.8,0000:63:00.3,NIC 4 for host HQ-A-ESX-03-03
vmnic4,nic-host-1017-4,host-1017,00:50:56:d2:63:82,Up,10000,Full,vmxnet3,1.2.6,0000:32:00.4,NIC 5 for host HQ-A-ESX-03-03
vmnic5,nic-host-1017-5,host-1017,00:50:56:a8:aa:f1,Up,40000,Full,vmxnet3,1.6.1,0000:00:00.5,NIC 6 for host HQ-A-ESX-03-03
vmnic6,nic-host-1017-6,host-1017,00:50:56:90:28:de,Up,25000,Full,vmxnet3,1.4.9,0000:62:00.6,NIC 7 for host HQ-A-ESX-03-03
vmnic7,nic-host-1017-7,host-1017,00:50:56:35:3f:1a,Up,40000,Full,vmxnet3,1.4.8,0000:93:00.7,NIC 8 for host HQ-A-ESX-03-03
vmnic0,nic-host-1018-0,host-1018,00:50:56:eb:98:77,Up,40000,Full,vmxnet3,1.5.3,0000:25:00.0,NIC 1 for host HQ-A-ESX-03-04
vmnic1,nic-host-1018-1,host-1018,00:50:56:cc:4b:57,Up,10000,Full,vmxnet3,1.6.8,0000:47:00.1,NIC 2 for host HQ-A-ESX-03-04
vmnic2,nic-host-1018-2,host-1018,00:50:56:19:e5:5f,Up,10000,Full,vmxnet3,1.2.3,0000:12:00.2,NIC 3 for host HQ-A-ESX-03-04
vmnic3,nic-host-1018-3,host-1018,00:50:56:9c:88:55,Up,10000,Full,vmxnet3,1.5.8,0000:21:00.3,NIC 4 for host HQ-A-ESX-03-04
vmnic4,nic-host-1018-4,host-1018,00:50:56:cf:4d:a1,Up,25000,Full,vmxnet3,1.8.3,0000:81:00.4,NIC 5 for host HQ-A-ESX-03-04
vmnic5,nic-host-1018-5,host-1018,00:50:56:ec:58:05,Up,40000,Full,vmxnet3,1.3.7,0000:67:00.5,NIC 6 for host HQ-A-ESX-03-04
vmnic6,nic-host-1018-6,host-1018,00:50:56:73:72:5b,Up,10000,Full,vmxnet3,1.6.3,0000:92:00.6,NIC 7 for host HQ-A-ESX-03-04
vmnic7,nic-host-1018-7,host-1018,00:50:56:84:a5:ad,Up,25000,Full,vmxnet3,1.1.2,0000:16:00.7,NIC 8 for host HQ-A-ESX-03-04
vmnic0,nic-host-1019-0,host-1019,00:50:56:fb:89:b7,Up,25000,Full,vmxnet3,1.3.6,0000:65:00.0,NIC 1 for host HQ-A-ESX-03-05
vmnic1,nic-host-1019-1,host-1019,00:50:56:a0:b7:2a,Up,10000,Full,vmxnet3,1.1.2,0000:60:00.1,NIC 2 for host HQ-A-ESX-03-05
vmnic2,nic-host-1019-2,host-1019,00:50:56:57:01:1c,Up,10000,Full,vmxnet3,1.9.6,0000:91:00.2,NIC 3 for host HQ-A-ESX-03-05
vmnic3,nic-host-1019-3,host-1019,00:50:56:53:fd:af,Up,10000,Full,vmxnet3,1.5.8,0000:50:00.3,NIC 4 for host HQ-A-ESX-03-05
vmnic4,nic-host-1019-4,host-1019,00:50:56:cd:f4:c4,Up,10000,Full,vmxnet3,1.9.1,0000:06:00.4,NIC 5 for host HQ-A-ESX-03-05
vmnic5,nic-host-1019-5,host-1019,00:50:56:d3:ad:90,Up,40000,Full,vmxnet3,1.2.6,0000:35:00.5,NIC 6 for host HQ-A-ESX-03-05
