vm_moref,guest_os_full,ip_addresses,hostname,uptime,tools_status,tools_version,guest_state,cpu_usage,memory_usage,notes
vm-1031,Ubuntu 20.04 LTS,10.10.16.98,hq-a-vm-mon-1031,45.363237017742456,Running Current,12365,Stopped,62,89,MON workload
vm-1032,Windows Server 2019 Standard,10.10.44.235,hq-a-vm-web-1032,348.84416355094373,Running Current,12365,Running,41,49,WEB workload
vm-1033,Windows Server 2019 Standard,10.10.140.63,hq-a-vm-app-1033,265.2944506997132,Running Current,12365,Running,70,60,APP workload
vm-1034,Ubuntu 20.04 LTS,10.10.113.52,hq-a-vm-app-1034,223.3026420170369,Running Current,12365,Running,27,79,APP workload
vm-1035,Windows Server 2022 Standard,10.10.120.74,hq-a-vm-mon-1035,31.421881036381247,Running Current,12365,Running,68,61,MON workload
vm-1036,RHEL 8.6,10.10.210.128,hq-a-vm-svc-1036,326.85599297854714,Running Current,12365,Running,53,62,SVC workload
vm-1037,Windows Server 2019 Standard,10.10.19.5,hq-a-vm-inf-1037,350.22430504797717,Running Current,12365,Running,24,82,INF workload
vm-1038,Ubuntu 20.04 LTS,10.10.206.249,hq-a-vm-mon-1038,187.376112679542,Running Current,12365,Running,77,83,MON workload
vm-1039,RHEL 8.6,10.10.103.26,hq-a-vm-db-1039,2.8386437653756897,Running Current,12365,Running,52,72,DB workload
vm-1040,Windows Server 2019 Standard,10.10.21.60,hq-a-vm-web-1040,24.31814613302243,Running Current,12365,Running,28,48,WEB workload
vm-1041,Windows Server 2019 Standard,10.10.141.206,hq-a-vm-web-1041,10.684971352674138,Running Current,12365,Running,50,61,WEB workload
vm-1042,Windows Server 2022 Standard,10.10.221.7,hq-a-vm-mon-1042,48.50783601467436,Running Current,12365,Running,67,59,MON workload
vm-1043,Windows Server 2019 Standard,10.10.202.188,hq-a-vm-web-1043,176.79002148062995,Running Current,12365,Running,24,88,WEB workload
vm-1044,Windows Server 2019 Standard,10.10.170.58,hq-a-vm-app-1044,299.7295048032804,Running Current,12365,Running,55,51,APP workload
vm-1045,Windows Server 2019 Standard,10.10.20.53,hq-a-vm-inf-1045,281.49338768891755,Running Current,12365,Running,50,48,INF workload
vm-1046,Windows Server 2019 Standard,10.10.117.173,hq-a-vm-web-1046,149.15736384897875,Running Current,12365,Running,20,76,WEB workload
vm-1047,Windows Server 2022 Standard,10.10.216.248,hq-a-vm-svc-1047,372.53995293442904,Running Current,12365,Running,79,56,SVC workload
vm-1048,Windows Server 2019 Standard,10.10.124.206,hq-a-vm-mon-1048,176.0200602201781,Running Current,12365,Running,66,83,MON workload
vm-1049,Windows Server 2019 Standard,10.10.170.95,hq-a-vm-app-1049,77.46741170764665,Running Current,12365,Running,64,70,APP workload
vm-1050,Windows Server 2022 Standard,10.10.104.163,hq-a-vm-app-1050,305.70536914948275,Running Current,12365,Running,44,74,APP workload
vm-1051,RHEL 8.6,10.10.47.189,hq-a-vm-svc-1051,79.30740222129866,Running Current,12365,Stopped,43,60,SVC workload
vm-1052,Windows Server 2019 Standard,10.10.21.99,hq-a-vm-inf-1052,215.74003357831646,Running Current,12365,Running,75,58,INF workload
vm-1053,Ubuntu 20.04 LTS,10.10.240.113,hq-a-vm-inf-1053,31.740322310469313,Running Current,12365,Running,59,86,INF workload
vm-1054,Ubuntu 20.04 LTS,10.10.94.66,hq-a-vm-app-1054,205.6723734843175,Running Current,12365,Running,35,70,APP workload
vm-1055,Ubuntu 20.04 LTS,10.10.163.201,hq-a-vm-mon-1055,287.28089653937997,Running Current,12365,Running,25,78,MON workload
vm-1056,Windows Server 2019 Standard,10.10.210.192,hq-a-vm-mon-1056,134.16468760879434,Running Current,12365,Running,48,90,MON workload
vm-1057,Ubuntu 20.04 LTS,10.10.2.246,hq-a-vm-db-1057,225.83650663740937,Running Current,12365,Running,64,79,DB workload
vm-1058,RHEL 8.6,10.10.145.141,hq-a-vm-db-1058,291.13111684880727,Running Current,12365,Running,25,85,DB workload
vm-1059,Windows Server 2022 Standard,10.10.162.198,hq-a-vm-mon-1059,122.18022347399236,Running Current,12365,Running,34,87,MON workload
vm-1060,Windows Server 2019 Standard,10.10.143.45,hq-a-vm-svc-1060,231.28408062096162,Running Current,12365,Stopped,74,81,SVC workload
vm-1061,Windows Server 2019 Standard,10.10.14.31,hq-a-vm-app-1061,222.64973880357738,Running Current,12365,Running,79,45,APP workload
vm-1062,Windows Server 2022 Standard,10.10.43.240,hq-a-vm-app-1062,289.5985483843014,Running Current,12365,Running,58,59,APP workload
vm-1063,Windows Server 2022 Standard,10.10.30.111,hq-a-vm-svc-1063,127.59409369057387,Running Current,12365,Running,25,74,SVC workload
vm-1064,Windows Server 2019 Standard,10.10.168.184,hq-a-vm-db-1064,317.2309352434413,Running Current,12365,Running,42,53,DB workload
vm-1065,Ubuntu 20.04 LTS,10.10.147.203,hq-a-vm-mon-1065,61.331088170600474,Running Current,12365,Running,71,79,MON workload
vm-1066,Windows Server 2022 Standard,10.10.248.249,hq-a-vm-web-1066,249.69221045030548,Running Current,12365,Running,38,60,WEB workload
vm-1067,RHEL 8.6,10.10.182.239,hq-a-vm-inf-1067,160.19451955401135,Running Current,12365,Running,20,60,INF workload
vm-1068,Windows Server 2022 Standard,10.10.88.152,hq-a-vm-db-1068,225.27099760980875,Running Current,12365,Running,59,40,DB workload
vm-1069,Windows Server 2022 Standard,10.10.34.50,hq-a-vm-inf-1069,166.39965214434608,Running Current,12365,Running,51,74,INF workload
vm-1070,Windows Server 2022 Standard,10.10.170.79,hq-a-vm-app-1070,45.119051252790875,Running Current,12365,Running,49,54,APP workload
vm-1071,Windows Server 2022 Standard,10.10.148.176,hq-a-vm-db-1071,341.4932817531172,Running Current,12365,Running,33,63,DB workload
vm-1072,Windows Server 2022 Standard,10.10.191.58,hq-a-vm-svc-1072,278.89483599655586,Running Current,12365,Running,61,43,SVC workload
vm-1073,Windows Server 2019 Standard,10.10.111.229,hq-a-vm-web-1073,141.35742064892938,Running Current,12365,Running,25,61,WEB workload
vm-1074,Windows Server 2019 Standard,10.10.23.54,hq-a-vm-db-1074,262.34330608335864,Running Current,12365,Running,35,53,DB workload
vm-1075,Windows Server 2022 Standard,10.10.55.244,hq-a-vm-db-1075,90.49701439833035,Running Current,12365,Running,58,57,DB workload
vm-1076,Windows Server 2019 Standard,10.10.128.2,hq-a-vm-web-1076,217.20990694726328,Running Current,12365,Running,75,43,WEB workload
vm-1077,Windows Server 2019 Standard,10.10.200.215,hq-a-vm-inf-1077,377.3600707078798,Running Current,12365,Running,38,75,INF workload
vm-1078,Windows Server 2019 Standard,10.10.156.154,hq-a-vm-svc-1078,335.0829443155011,Running Current,12365,Running,49,55,SVC workload
vm-1079,Ubuntu 20.04 LTS,10.10.101.246,hq-a-vm-mon-1079,139.50405586213287,Running Current,12365,Running,49,49,MON workload
vm-1080,Windows Server 2022 Standard,10.10.219.182,hq-a-vm-mon-1080,38.97939056359108,Running Current,12365,Running,57,42,MON workload
vm-1081,Windows Server 2022 Standard,10.10.25.51,hq-a-vm-svc-1081,285.0102058150546,Running Current,12365,Running,68,89,SVC workload
vm-1082,Windows Server 2019 Standard,10.10.2.86,hq-a-vm-app-1082,159.967318186892,Running Current,12365,Running,50,45,APP workload
vm-1083,Windows Server 2022 Standard,10.10.240.96,hq-a-vm-svc-1083,1.9435137033423089,Running Current,12365,Running,57,82,SVC workload
vm-1084,Windows Server 2022 Standard,10.10.34.107,hq-a-vm-inf-1084,186.23823264909026,Running Current,12365,Running,67,88,INF workload
vm-1085,Windows Server 2019 Standard,10.10.227.130,hq-a-vm-web-1085,383.8770621107909,Running Current,12365,Stopped,35,77,WEB workload
vm-1086,Windows Server 2019 Standard,10.10.149.146,hq-a-vm-mon-1086,237.9216523736983,Running Current,12365,Stopped,73,42,MON workload
vm-1087,Ubuntu 20.04 LTS,10.10.64.2,hq-a-vm-inf-1087,181.60173908813275,Running Current,12365,Running,64,50,INF workload
vm-1088,Ubuntu 20.04 LTS,10.10.80.117,hq-a-vm-app-1088,346.92172721659915,Running Current,12365,Running,51,74,APP workload
vm-1089,Windows Server 2022 Standard,10.10.186.144,hq-a-vm-web-1089,178.29918080843555,Running Current,12365,Running,55,44,WEB workload
vm-1090,Ubuntu 20.04 LTS,10.10.61.74,hq-a-vm-db-1090,11.859152820758656,Running Current,12365,Running,58,74,DB workload
vm-1091,Windows Server 2022 Standard,10.10.248.173,hq-a-vm-inf-1091,164.50662455478908,Running Current,12365,Running,74,81,INF workload
vm-1092,Windows Server 2022 Standard,10.10.24.145,hq-a-vm-app-1092,209.92141693795972,Running Current,12365,Running,24,66,APP workload
vm-1093,Windows Server 2019 Standard,10.10.164.81,hq-a-vm-app-1093,188.70042739405892,Running Current,12365,Stopped,56,81,APP workload
vm-1094,Windows Server 2022 Standard,10.10.118.75,hq-a-vm-db-1094,391.1260742506714,Running Current,12365,Running,55,40,DB workload
vm-1095,Windows Server 2019 Standard,10.10.23.194,hq-a-vm-web-1095,372.6991526748426,Running Current,12365,Running,64,48,WEB workload
vm-1096,RHEL 8.6,10.10.252.213,hq-a-vm-app-1096,200.82196796264196,Running Current,12365,Running,60,47,APP workload
vm-1097,Windows Server 2019 Standard,10.10.112.223,hq-a-vm-app-1097,261.6691574522546,Running Current,12365,Running,70,86,APP workload
vm-1098,Ubuntu 20.04 LTS,10.10.100.77,hq-a-vm-svc-1098,35.58536505247431,Running Current,12365,Running,34,75,SVC workload
vm-1099,Windows Server 2019 Standard,10.10.152.144,hq-a-vm-app-1099,121.50734292391311,Running Current,12365,Running,67,40,APP workload
vm-1100,Windows Server 2022 Standard,10.10.102.242,hq-a-vm-mon-1100,390.9994285737044,Running Current,12365,Running,43,74,MON workload
vm-1101,Windows Server 2022 Standard,10.10.143.80,hq-a-vm-app-1101,322.1032809524476,Running Current,12365,Stopped,68,83,APP workload
vm-1102,Windows Server 2019 Standard,10.10.33.126,hq-a-vm-app-1102,279.8885364294796,Running Current,12365,Running,23,52,APP workload
vm-1103,Windows Server 2019 Standard,10.10.149.222,hq-a-vm-web-1103,122.89917604309096,Running Current,12365,Stopped,62,62,WEB workload
vm-1104,Windows Server 2019 Standard,10.10.132.223,hq-a-vm-web-1104,264.92319425806625,Running Current,12365,Running,72,90,WEB workload
vm-1105,Windows Server 2019 Standard,10.10.119.178,hq-a-vm-mon-1105,183.19785135287395,Running Current,12365,Stopped,57,54,MON workload
vm-1106,RHEL 8.6,10.10.91.128,hq-a-vm-svc-1106,241.5610416947295,Running Current,12365,Running,61,41,SVC workload
vm-1107,Windows Server 2019 Standard,10.10.193.2,hq-a-vm-mon-1107,244.17686243431834,Running Current,12365,Running,29,70,MON workload
vm-1108,RHEL 8.6,10.10.48.237,hq-a-vm-db-1108,3.2129102288311615,Running Current,12365,Running,54,83,DB workload
vm-1109,Windows Server 2019 Standard,10.10.27.251,hq-a-vm-db-1109,101.556581983518,Running Current,12365,Running,58,78,DB workload
vm-1110,Ubuntu 20.04 LTS,10.10.4.47,hq-a-vm-svc-1110,240.75429375893552,Running Current,12365,Running,46,56,SVC workload
vm-1111,Windows Server 2019 Standard,10.10.217.181,hq-a-vm-web-1111,225.401967835039,Running Current,12365,Running,22,57,WEB workload
vm-1112,RHEL 8.6,10.10.213.140,hq-a-vm-mon-1112,34.017416132035244,Running Current,12365,Running,22,57,MON workload
vm-1113,Windows Server 2022 Standard,10.10.48.162,hq-a-vm-web-1113,314.0059534598685,Running Current,12365,Running,59,66,WEB workload
vm-1114,Windows Server 2019 Standard,10.10.161.56,hq-a-vm-app-1114,253.3960186490672,Running Current,12365,Stopped,31,67,APP workload
vm-1115,Windows Server 2022 Standard,10.10.56.223,hq-a-vm-svc-1115,362.31627264501816,Running Current,12365,Running,30,45,SVC workload
vm-1116,Windows Server 2022 Standard,10.10.234.51,hq-a-vm-mon-1116,169.94090556251808,Running Current,12365,Running,25,71,MON workload
vm-1117,RHEL 8.6,10.10.117.44,hq-a-vm-svc-1117,142.34993203378838,Running Current,12365,Running,72,47,SVC workload
vm-1118,Ubuntu 20.04 LTS,10.10.92.36,hq-a-vm-inf-1118,75.09530898277748,Running Current,12365,Running,55,80,INF workload
vm-1119,Ubuntu 20.04 LTS,10.10.232.7,hq-a-vm-web-1119,232.40169807537987,Running Current,12365,Running,21,54,WEB workload
vm-1120,Windows Server 2022 Standard,10.10.52.236,hq-a-vm-mon-1120,84.49947573938654,Running Current,12365,Running,75,77,MON workload
vm-1121,Windows Server 2019 Standard,10.10.91.39,hq-a-vm-app-1121,343.6360282470232,Running Current,12365,Running,71,85,APP workload
vm-1122,Windows Server 2019 Standard,10.10.144.84,hq-a-vm-app-1122,250.2172849753236,Running Current,12365,Running,69,78,APP workload
vm-1123,Ubuntu 20.04 LTS,10.10.19.39,hq-a-vm-mon-1123,285.19482709166596,Running Current,12365,Running,75,49,MON workload
vm-1124,Windows Server 2019 Standard,10.10.106.47,hq-a-vm-mon-1124,133.99762760224877,Running Current,12365,Running,23,82,MON workload
vm-1125,RHEL 8.6,10.10.67.133,hq-a-vm-inf-1125,315.2091926205172,Running Current,12365,Running,30,47,INF workload
vm-1126,Windows Server 2019 Standard,10.10.196.41,hq-a-vm-inf-1126,275.54910317638274,Running Current,12365,Stopped,23,71,INF workload
vm-1127,RHEL 8.6,10.10.157.74,hq-a-vm-web-1127,36.45583308632262,Running Current,12365,Running,23,54,WEB workload
vm-1128,RHEL 8.6,10.10.237.102,hq-a-vm-web-1128,170.87419255576305,Running Current,12365,Running,29,40,WEB workload
vm-1129,Windows Server 2022 Standard,10.10.103.143,hq-a-vm-app-1129,157.25185043057652,Running Current,12365,Running,23,46,APP workload
vm-1130,Windows Server 2022 Standard,10.10.188.4,hq-a-vm-db-1130,64.57474654706904,Running Current,12365,Stopped,70,89,DB workload
vm-1131,Windows Server 2019 Standard,10.10.199.41,hq-a-vm-web-1131,49.243042060121475,Running Current,12365,Stopped,43,54,WEB workload
vm-1132,Windows Server 2022 Standard,10.10.131.83,hq-a-vm-mon-1132,35.17602907709472,Running Current,12365,Running,55,59,MON workload
vm-1133,Windows Server 2019 Standard,10.10.216.219,hq-a-vm-db-1133,128.63399501539084,Running Current,12365,Running,59,75,DB workload
vm-1134,Windows Server 2022 Standard,10.10.118.129,hq-a-vm-mon-1134,196.9777072610577,Running Current,12365,Running,55,40,MON workload
vm-1135,Ubuntu 20.04 LTS,10.10.69.19,hq-a-vm-db-1135,385.4580522789252,Running Current,12365,Running,38,60,DB workload
vm-1136,Windows Server 2019 Standard,10.10.212.208,hq-a-vm-svc-1136,146.74996333973655,Running Current,12365,Running,23,43,SVC workload
vm-1137,Windows Server 2019 Standard,10.10.29.254,hq-a-vm-inf-1137,219.1107311470681,Running Current,12365,Running,74,86,INF workload
vm-1138,Windows Server 2019 Standard,10.10.12.133,hq-a-vm-app-1138,68.45053451215843,Running Current,12365,Running,49,64,APP workload
vm-1139,Ubuntu 20.04 LTS,10.10.240.124,hq-a-vm-db-1139,370.94622331229016,Running Current,12365,Running,29,89,DB workload
vm-1140,Windows Server 2022 Standard,10.10.163.40,hq-a-vm-app-1140,325.5859171233635,Running Current,12365,Running,26,50,APP workload
vm-1141,Windows Server 2019 Standard,10.10.235.128,hq-a-vm-svc-1141,227.19212693316183,Running Current,12365,Running,56,68,SVC workload
vm-1142,Windows Server 2022 Standard,10.10.153.212,hq-a-vm-db-1142,119.3656495329382,Running Current,12365,Stopped,37,82,DB workload
vm-1143,Windows Server 2022 Standard,10.10.74.25,hq-a-vm-mon-1143,2.202203443279142,Running Current,12365,Running,30,41,MON workload
vm-1144,Windows Server 2022 Standard,10.10.157.180,hq-a-vm-web-1144,46.001621062923256,Running Current,12365,Running,27,53,WEB workload
vm-1145,Windows Server 2019 Standard,10.10.8.8,hq-a-vm-db-1145,249.41026652593212,Running Current,12365,Running,23,87,DB workload
vm-1146,Windows Server 2022 Standard,10.10.107.139,hq-a-vm-mon-1146,242.36585114575772,Running Current,12365,Running,34,72,MON workload
vm-1147,Windows Server 2019 Standard,10.10.199.25,hq-a-vm-inf-1147,380.18101016654333,Running Current,12365,Running,57,79,INF workload
vm-1148,RHEL 8.6,10.10.59.235,hq-a-vm-web-1148,60.19594042918793,Running Current,12365,Running,23,46,WEB workload
vm-1149,Windows Server 2019 Standard,10.10.118.227,hq-a-vm-web-1149,44.518826006513436,Running Current,12365,Running,54,54,WEB workload
vm-1150,RHEL 8.6,10.10.218.22,hq-a-vm-app-1150,185.34826667547182,Running Current,12365,Running,29,75,APP workload
vm-1151,Windows Server 2019 Standard,10.10.92.19,hq-a-vm-inf-1151,358.4941371781848,Running Current,12365,Stopped,78,88,INF workload
vm-1152,Ubuntu 20.04 LTS,10.10.9.184,hq-a-vm-web-1152,307.84271451912264,Running Current,12365,Running,80,42,WEB workload
vm-1153,RHEL 8.6,10.10.14.55,hq-a-vm-inf-1153,109.98465724195893,Running Current,12365,Running,38,46,INF workload
vm-1154,Windows Server 2019 Standard,10.10.118.118,hq-a-vm-svc-1154,367.0184672645276,Running Current,12365,Running,70,65,SVC workload
vm-1155,Windows Server 2019 Standard,10.10.13.89,hq-a-vm-web-1155,179.53415457964456,Running Current,12365,Running,51,64,WEB workload
vm-1156,Ubuntu 20.04 LTS,10.10.103.245,hq-a-vm-svc-1156,223.84525730183563,Running Current,12365,Running,28,45,SVC workload
vm-1157,Windows Server 2019 Standard,10.10.111.135,hq-a-vm-svc-1157,258.9959618760788,Running Current,12365,Stopped,24,87,SVC workload
vm-1158,Windows Server 2019 Standard,10.10.21.233,hq-a-vm-mon-1158,46.71421513399999,Running Current,12365,Running,33,43,MON workload
vm-1159,RHEL 8.6,10.10.179.88,hq-a-vm-app-1159,181.59783533889492,Running Current,12365,Running,76,43,APP workload
vm-1160,RHEL 8.6,10.10.148.34,hq-a-vm-mon-1160,119.16414372980859,Running Current,12365,Running,65,79,MON workload
vm-1161,Windows Server 2019 Standard,10.10.101.195,hq-a-vm-mon-1161,394.6593241932985,Running Current,12365,Running,63,64,MON workload
vm-1162,Windows Server 2019 Standard,10.10.116.218,hq-a-vm-inf-1162,182.4138004502581,Running Current,12365,Running,54,49,INF workload
vm-1163,Windows Server 2019 Standard,10.10.22.105,hq-a-vm-mon-1163,123.0205367390627,Running Current,12365,Running,74,80,MON workload
vm-1164,Windows Server 2019 Standard,10.10.248.90,hq-a-vm-svc-1164,110.6584097485612,Running Current,12365,Running,63,55,SVC workload
vm-1165,Windows Server 2019 Standard,10.10.9.247,hq-a-vm-db-1165,307.70421884018907,Running Current,12365,Running,35,84,DB workload
vm-1166,Windows Server 2019 Standard,10.10.230.60,hq-a-vm-svc-1166,359.10908838234985,Running Current,12365,Running,29,68,SVC workload
vm-1167,Windows Server 2019 Standard,10.10.183.132,hq-a-vm-db-1167,171.40033182669487,Running Current,12365,Running,36,87,DB workload
vm-1168,RHEL 8.6,10.10.8.1,hq-a-vm-mon-1168,320.0923369673951,Running Current,12365,Running,25,81,MON workload
vm-1169,Windows Server 2022 Standard,10.10.212.53,hq-a-vm-db-1169,281.7762509440189,Running Current,12365,Running,65,64,DB workload
vm-1170,Windows Server 2019 Standard,10.10.149.79,hq-a-vm-web-1170,268.52770914661573,Running Current,12365,Running,40,42,WEB workload
vm-1171,Windows Server 2022 Standard,10.10.252.42,hq-a-vm-svc-1171,80.48982134440207,Running Current,12365,Running,49,49,SVC workload
vm-1172,Windows Server 2019 Standard,10.10.56.225,hq-a-vm-app-1172,100.52648385604351,Running Current,12365,Running,70,87,APP workload
vm-1173,Windows Server 2022 Standard,10.10.93.46,hq-a-vm-app-1173,204.7105077435552,Running Current,12365,Running,32,50,APP workload
vm-1174,Windows Server 2019 Standard,10.10.129.82,hq-a-vm-svc-1174,76.7863232895656,Running Current,12365,Running,53,88,SVC workload
vm-1175,Windows Server 2019 Standard,10.10.251.178,hq-a-vm-app-1175,72.1790610526436,Running Current,12365,Running,49,44,APP workload
vm-1176,Windows Server 2019 Standard,10.10.231.121,hq-a-vm-db-1176,317.68122441707334,Running Current,12365,Running,59,78,DB workload
vm-1177,Windows Server 2022 Standard,10.10.230.29,hq-a-vm-inf-1177,240.17040704538658,Running Current,12365,Running,48,49,INF workload
vm-1178,Windows Server 2019 Standard,10.10.99.50,hq-a-vm-mon-1178,45.31450996771929,Running Current,12365,Running,31,58,MON workload
vm-1179,Windows Server 2019 Standard,10.10.224.13,hq-a-vm-db-1179,80.49884256085905,Running Current,12365,Running,35,59,DB workload
vm-1180,Windows Server 2022 Standard,10.10.59.126,hq-a-vm-inf-1180,181.84174488383263,Running Current,12365,Running,47,47,INF workload
vm-1181,Windows Server 2019 Standard,10.10.161.168,hq-a-vm-mon-1181,250.22832557203063,Running Current,12365,Stopped,22,48,MON workload
vm-1182,Ubuntu 20.04 LTS,10.10.126.22,hq-a-vm-app-1182,88.46785877535719,Running Current,12365,Running,80,85,APP workload
vm-1183,Windows Server 2019 Standard,10.10.121.164,hq-a-vm-web-1183,376.1643249020533,Running Current,12365,Running,72,61,WEB workload
vm-1184,RHEL 8.6,10.10.2.108,hq-a-vm-app-1184,170.59345162898626,Running Current,12365,Running,52,41,APP workload
vm-1185,Ubuntu 20.04 LTS,10.10.218.40,hq-a-vm-web-1185,297.0201811606657,Running Current,12365,Running,56,62,WEB workload
vm-1186,Windows Server 2019 Standard,10.10.70.253,hq-a-vm-app-1186,169.8689584341373,Running Current,12365,Running,40,43,APP workload
vm-1187,Ubuntu 20.04 LTS,10.10.253.162,hq-a-vm-inf-1187,302.0702197487913,Running Current,12365,Running,64,81,INF workload
vm-1188,RHEL 8.6,10.10.126.165,hq-a-vm-svc-1188,48.48381604156749,Running Current,12365,Running,76,57,SVC workload
vm-1189,Windows Server 2022 Standard,10.10.243.142,hq-a-vm-inf-1189,173.11753629068454,Running Current,12365,Stopped,42,45,INF workload
vm-1190,Windows Server 2019 Standard,10.10.80.157,hq-a-vm-mon-1190,201.04220650849672,Running Current,12365,Running,22,62,MON workload
vm-1191,Windows Server 2022 Standard,10.10.246.25,hq-a-vm-app-1191,348.10315999537517,Running Current,12365,Running,28,82,APP workload
vm-1192,Windows Server 2019 Standard,10.10.39.133,hq-a-vm-mon-1192,42.72956575758027,Running Current,12365,Running,79,74,MON workload
vm-1193,Windows Server 2022 Standard,10.10.182.184,hq-a-vm-db-1193,364.9855992907386,Running Current,12365,Running,55,49,DB workload
vm-1194,RHEL 8.6,10.10.86.50,hq-a-vm-svc-1194,115.01144196140524,Running Current,12365,Running,66,47,SVC workload
vm-1195,RHEL 8.6,10.10.18.60,hq-a-vm-mon-1195,85.97533144971985,Running Current,12365,Running,47,77,MON workload
vm-1196,RHEL 8.6,10.10.11.238,hq-a-vm-db-1196,361.9351949580395,Running Current,12365,Running,48,43,DB workload
vm-1197,Windows Server 2019 Standard,10.10.87.171,hq-a-vm-db-1197,295.845020704768,Running Current,12365,Running,28,84,DB workload
vm-1198,Windows Server 2019 Standard,10.10.10.57,hq-a-vm-app-1198,241.40494845238547,Running Current,12365,Running,80,76,APP workload
vm-1199,Ubuntu 20.04 LTS,10.10.187.60,hq-a-vm-web-1199,22.953133919089993,Running Current,12365,Running,79,48,WEB workload
vm-1200,Windows Server 2019 Standard,10.10.12.206,hq-a-vm-db-1200,295.39973140581753,Running Current,12365,Running,61,45,DB workload
