name,moref,parent_host,cluster_moref,vcenter_moref,guest_os,vm_version,cpu_count,memory_gb,disk_count,nic_count,ip_addresses,power_state,created_date,notes
HQ-A-VM-01-02-1055,vm-1055,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v19,2,16,3,4,10.10.207.186,poweredOn,2021-07-13 00:00:00,VM for APP workload
HQ-A-VM-01-02-1056,vm-1056,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v15,4,16,3,4,10.10.33.41,poweredOn,2022-08-21 00:00:00,VM for DB workload
HQ-A-VM-01-02-1057,vm-1057,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v18,4,8,2,4,10.10.132.58,poweredOn,2024-02-05 00:00:00,VM for INF workload
HQ-A-VM-01-02-1058,vm-1058,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v16,2,32,2,1,10.10.136.249,poweredOn,2021-05-05 00:00:00,VM for INF workload
HQ-A-VM-01-02-1059,vm-1059,host-1001,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v18,4,64,3,4,10.10.18.230,poweredOn,2024-07-19 00:00:00,VM for WEB workload
HQ-A-VM-01-02-1060,vm-1060,host-1001,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,4,8,4,1,10.10.99.103,poweredOn,2024-01-26 00:00:00,VM for INF workload
HQ-A-VM-01-03-1061,vm-1061,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v15,8,16,1,2,10.10.70.32,poweredOn,2023-03-17 00:00:00,VM for DB workload
HQ-A-VM-01-03-1062,vm-1062,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v18,8,16,1,4,10.10.122.99,poweredOn,2022-11-08 00:00:00,VM for WEB workload
HQ-A-VM-01-03-1063,vm-1063,host-1002,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v18,8,64,1,3,10.10.124.9,poweredOff,2022-08-08 00:00:00,VM for APP workload
HQ-A-VM-01-03-1064,vm-1064,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v15,2,8,3,4,10.10.220.109,poweredOn,2023-04-22 00:00:00,VM for WEB workload
HQ-A-VM-01-03-1065,vm-1065,host-1002,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v15,2,4,2,3,10.10.178.2,poweredOn,2022-09-01 00:00:00,VM for WEB workload
HQ-A-VM-01-03-1066,vm-1066,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v16,8,16,4,2,10.10.33.207,poweredOn,2023-10-10 00:00:00,VM for APP workload
HQ-A-VM-01-03-1067,vm-1067,host-1002,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v17,8,8,1,1,10.10.44.21,poweredOn,2023-11-06 00:00:00,VM for DB workload
HQ-A-VM-01-03-1068,vm-1068,host-1002,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v14,8,4,2,4,10.10.146.224,poweredOn,2021-08-08 00:00:00,VM for APP workload
HQ-A-VM-01-03-1069,vm-1069,host-1002,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v14,4,8,2,2,10.10.201.22,poweredOn,2019-10-11 00:00:00,VM for APP workload
HQ-A-VM-01-03-1070,vm-1070,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v16,8,8,4,2,10.10.61.233,poweredOn,2023-07-04 00:00:00,VM for WEB workload
HQ-A-VM-01-03-1071,vm-1071,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v19,2,16,2,3,10.10.177.57,poweredOn,2023-12-09 00:00:00,VM for WEB workload
HQ-A-VM-01-03-1072,vm-1072,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v15,8,8,4,3,10.10.12.235,poweredOn,2023-07-02 00:00:00,VM for WEB workload
HQ-A-VM-01-03-1073,vm-1073,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v15,2,16,1,2,10.10.103.159,poweredOn,2023-01-04 00:00:00,VM for APP workload
HQ-A-VM-01-03-1074,vm-1074,host-1002,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v16,8,8,2,2,10.10.205.22,poweredOn,2021-01-11 00:00:00,VM for MON workload
HQ-A-VM-01-03-1075,vm-1075,host-1002,domain-c1000,vc-26d8de60,RHEL 8.6,v18,2,16,1,4,10.10.195.18,poweredOn,2020-04-16 00:00:00,VM for DB workload
HQ-A-VM-01-03-1076,vm-1076,host-1002,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v19,8,64,3,2,10.10.199.102,poweredOn,2022-11-29 00:00:00,VM for SVC workload
HQ-A-VM-01-03-1077,vm-1077,host-1002,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v16,16,16,2,4,10.10.160.142,poweredOn,2022-04-22 00:00:00,VM for WEB workload
HQ-A-VM-01-03-1078,vm-1078,host-1002,domain-c1000,vc-26d8de60,RHEL 8.6,v18,2,4,4,4,10.10.4.67,poweredOff,2022-06-01 00:00:00,VM for APP workload
HQ-A-VM-01-03-1079,vm-1079,host-1002,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v16,16,64,2,2,10.10.117.167,poweredOn,2022-10-16 00:00:00,VM for DB workload
HQ-A-VM-01-03-1080,vm-1080,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v14,4,32,3,3,10.10.111.203,poweredOn,2020-09-01 00:00:00,VM for DB workload
HQ-A-VM-01-03-1081,vm-1081,host-1002,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v18,4,16,1,4,10.10.136.234,poweredOff,2020-12-02 00:00:00,VM for APP workload
HQ-A-VM-01-03-1082,vm-1082,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v16,8,32,3,4,10.10.141.8,poweredOn,2024-06-17 00:00:00,VM for SVC workload
HQ-A-VM-01-03-1083,vm-1083,host-1002,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v15,16,32,2,4,10.10.167.174,poweredOn,2023-10-04 00:00:00,VM for INF workload
HQ-A-VM-01-03-1084,vm-1084,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,4,16,1,2,10.10.158.111,poweredOn,2021-02-23 00:00:00,VM for SVC workload
HQ-A-VM-01-03-1085,vm-1085,host-1002,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v15,16,64,2,2,10.10.226.114,poweredOn,2019-11-12 00:00:00,VM for DB workload
HQ-A-VM-01-03-1086,vm-1086,host-1002,domain-c1000,vc-26d8de60,RHEL 8.6,v18,8,4,4,3,10.10.219.198,poweredOn,2022-09-05 00:00:00,VM for DB workload
HQ-A-VM-01-03-1087,vm-1087,host-1002,domain-c1000,vc-26d8de60,RHEL 8.6,v17,2,4,4,1,10.10.146.168,poweredOn,2021-12-24 00:00:00,VM for DB workload
HQ-A-VM-01-03-1088,vm-1088,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v14,8,8,1,3,10.10.158.238,poweredOn,2020-01-10 00:00:00,VM for WEB workload
HQ-A-VM-01-03-1089,vm-1089,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,4,8,1,2,10.10.171.18,poweredOn,2024-08-05 00:00:00,VM for APP workload
HQ-A-VM-01-03-1090,vm-1090,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v19,8,32,1,1,10.10.54.254,poweredOn,2022-11-19 00:00:00,VM for DB workload
HQ-A-VM-01-03-1091,vm-1091,host-1002,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v14,2,16,4,1,10.10.173.143,poweredOn,2022-07-05 00:00:00,VM for WEB workload
HQ-A-VM-01-03-1092,vm-1092,host-1002,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v14,16,16,3,1,10.10.86.240,poweredOff,2021-10-20 00:00:00,VM for SVC workload
HQ-A-VM-01-03-1093,vm-1093,host-1002,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v16,2,4,1,3,10.10.221.248,poweredOn,2023-08-23 00:00:00,VM for MON workload
HQ-A-VM-01-03-1094,vm-1094,host-1002,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v14,4,64,2,4,10.10.157.17,poweredOn,2024-10-05 00:00:00,VM for WEB workload
HQ-A-VM-01-03-1095,vm-1095,host-1002,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v15,4,4,1,3,10.10.196.199,poweredOn,2024-06-09 00:00:00,VM for INF workload
HQ-A-VM-01-03-1096,vm-1096,host-1002,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v17,4,16,3,4,10.10.10.206,poweredOff,2023-04-26 00:00:00,VM for WEB workload
HQ-A-VM-01-04-1097,vm-1097,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v15,4,64,3,3,10.10.254.4,poweredOn,2019-03-10 00:00:00,VM for DB workload
HQ-A-VM-01-04-1098,vm-1098,host-1003,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v14,4,8,3,2,10.10.243.160,poweredOn,2019-01-06 00:00:00,VM for MON workload
HQ-A-VM-01-04-1099,vm-1099,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v14,8,32,2,4,10.10.26.123,poweredOn,2024-07-07 00:00:00,VM for APP workload
HQ-A-VM-01-04-1100,vm-1100,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v15,8,64,2,1,10.10.235.36,poweredOn,2020-06-21 00:00:00,VM for APP workload
HQ-A-VM-01-04-1101,vm-1101,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v17,16,32,1,4,10.10.233.22,poweredOn,2023-01-31 00:00:00,VM for DB workload
HQ-A-VM-01-04-1102,vm-1102,host-1003,domain-c1000,vc-26d8de60,RHEL 8.6,v19,4,4,2,4,10.10.96.42,poweredOn,2023-09-14 00:00:00,VM for DB workload
HQ-A-VM-01-04-1103,vm-1103,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v17,4,64,1,1,10.10.191.152,poweredOn,2023-11-07 00:00:00,VM for WEB workload
HQ-A-VM-01-04-1104,vm-1104,host-1003,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,4,8,1,4,10.10.247.129,poweredOn,2024-03-28 00:00:00,VM for APP workload
HQ-A-VM-01-04-1105,vm-1105,host-1003,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v17,8,16,2,4,10.10.25.180,poweredOff,2023-08-13 00:00:00,VM for WEB workload
HQ-A-VM-01-04-1106,vm-1106,host-1003,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v16,8,4,2,1,10.10.114.49,poweredOn,2020-06-24 00:00:00,VM for DB workload
HQ-A-VM-01-04-1107,vm-1107,host-1003,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v14,2,16,4,4,10.10.100.189,poweredOn,2021-01-29 00:00:00,VM for DB workload
HQ-A-VM-01-04-1108,vm-1108,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v18,16,32,1,3,10.10.195.73,poweredOn,2021-01-15 00:00:00,VM for APP workload
HQ-A-VM-01-04-1109,vm-1109,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v14,8,32,2,4,10.10.174.55,poweredOn,2021-11-10 00:00:00,VM for APP workload
HQ-A-VM-01-04-1110,vm-1110,host-1003,domain-c1000,vc-26d8de60,RHEL 8.6,v18,4,16,1,1,10.10.126.154,poweredOn,2023-07-26 00:00:00,VM for DB workload
HQ-A-VM-01-04-1111,vm-1111,host-1003,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,2,8,3,1,10.10.74.3,poweredOn,2019-05-27 00:00:00,VM for APP workload
HQ-A-VM-01-04-1112,vm-1112,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v15,4,32,4,4,10.10.241.88,poweredOn,2020-11-05 00:00:00,VM for DB workload
HQ-A-VM-01-04-1113,vm-1113,host-1003,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v18,4,16,4,2,10.10.93.185,poweredOn,2021-03-01 00:00:00,VM for APP workload
HQ-A-VM-01-04-1114,vm-1114,host-1003,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,2,8,2,4,10.10.130.115,poweredOn,2019-08-08 00:00:00,VM for WEB workload
HQ-A-VM-01-04-1115,vm-1115,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v18,16,64,4,3,10.10.37.175,poweredOn,2022-04-06 00:00:00,VM for INF workload
HQ-A-VM-01-04-1116,vm-1116,host-1003,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v16,8,16,2,3,10.10.20.58,poweredOn,2024-04-14 00:00:00,VM for SVC workload
HQ-A-VM-01-04-1117,vm-1117,host-1003,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v17,4,4,4,2,10.10.208.60,poweredOn,2022-06-10 00:00:00,VM for WEB workload
HQ-A-VM-01-04-1118,vm-1118,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v16,8,32,4,4,10.10.125.72,poweredOff,2020-01-20 00:00:00,VM for DB workload
HQ-A-VM-01-04-1119,vm-1119,host-1003,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v15,4,32,2,4,10.10.179.204,poweredOn,2022-08-24 00:00:00,VM for APP workload
HQ-A-VM-01-04-1120,vm-1120,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v18,16,64,2,3,10.10.184.149,poweredOn,2022-09-29 00:00:00,VM for INF workload
HQ-A-VM-01-04-1121,vm-1121,host-1003,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v15,8,16,4,1,10.10.106.21,poweredOn,2019-03-03 00:00:00,VM for DB workload
HQ-A-VM-01-04-1122,vm-1122,host-1003,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v16,2,8,3,3,10.10.174.75,poweredOff,2022-04-28 00:00:00,VM for SVC workload
HQ-A-VM-01-04-1123,vm-1123,host-1003,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v18,2,8,2,3,10.10.189.82,poweredOn,2019-05-13 00:00:00,VM for APP workload
HQ-A-VM-01-04-1124,vm-1124,host-1003,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v15,4,16,3,1,10.10.167.145,poweredOn,2021-09-08 00:00:00,VM for WEB workload
HQ-A-VM-01-04-1125,vm-1125,host-1003,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,4,8,3,2,10.10.204.207,poweredOff,2021-03-23 00:00:00,VM for WEB workload
HQ-A-VM-01-04-1126,vm-1126,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v19,8,32,1,3,10.10.175.119,poweredOn,2019-09-26 00:00:00,VM for WEB workload
HQ-A-VM-01-04-1127,vm-1127,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v18,16,64,1,1,10.10.158.227,poweredOff,2020-02-15 00:00:00,VM for APP workload
HQ-A-VM-01-04-1128,vm-1128,host-1003,domain-c1000,vc-26d8de60,Ubuntu 20.04 LTS,v16,4,4,3,4,10.10.140.26,poweredOn,2023-09-15 00:00:00,VM for WEB workload
HQ-A-VM-01-04-1129,vm-1129,host-1003,domain-c1000,vc-26d8de60,Windows Server 2019 Standard,v17,8,8,3,4,10.10.96.66,poweredOff,2021-10-15 00:00:00,VM for APP workload
HQ-A-VM-01-04-1130,vm-1130,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v15,8,64,2,3,10.10.109.150,poweredOn,2019-06-21 00:00:00,VM for DB workload
HQ-A-VM-01-04-1131,vm-1131,host-1003,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v18,16,16,1,3,10.10.123.162,poweredOn,2023-10-07 00:00:00,VM for APP workload
HQ-A-VM-01-04-1132,vm-1132,host-1003,domain-c1000,vc-26d8de60,RHEL 8.6,v17,8,8,2,1,10.10.61.197,poweredOn,2022-07-26 00:00:00,VM for WEB workload
HQ-A-VM-01-05-1133,vm-1133,host-1004,domain-c1000,vc-26d8de60,RHEL 8.6,v15,4,8,1,2,10.10.26.42,poweredOn,2023-04-26 00:00:00,VM for APP workload
HQ-A-VM-01-05-1134,vm-1134,host-1004,domain-c1000,vc-26d8de60,Windows Server 2022 Standard,v15,16,64,2,2,10.10.40.237,poweredOn,2022-05-07 00:00:00,VM for APP workload
